,Ku95,Ku99,Ch95,Ch99,Sc95,Sc99,ESc95,ESc99
genhyperbolic,0.007447710138538399,0.18099777733592193,0.6492634807020252,0.9946240358584997,0.002148294933545978,0.0005940303502397065,0.00015073018772343078,5.2472696450239176e-05
mielke,0.0001276037136812569,0.18099777733592193,0.839492577936688,0.9946240358584997,0.012400708495869776,0.0074946495988383564,0.43364530712981836,1.050706445279327
johnsonsu,0.007447710138538399,0.18099777733592193,0.6492634807020252,0.9946240358584997,0.002150608614443898,0.0005944348744332696,0.00015213245653774413,5.460605562374835e-05
nct,0.007447710138538399,0.18099777733592193,0.6492634807020252,0.9946240358584997,0.0021510794907756503,0.0005943031989920119,0.0001524482097155865,5.531525976465052e-05
genlogistic,0.007447710138538399,0.18099777733592193,0.6492634807020252,0.9946240358584997,0.00216165302289798,0.0006088620558006901,0.0001546637147566285,5.517823229479994e-05
norminvgauss,0.007447710138538399,0.18099777733592193,0.6492634807020252,0.9946240358584997,0.00215395752678819,0.0005944976926299921,0.0001518221363643262,5.331210540786203e-05
burr12,0.0001276037136812569,0.18099777733592193,0.839492577936688,0.9946240358584997,0.002198875471184441,0.0006111457614984786,0.00016253703309053826,5.3442328049394575e-05
crystalball,0.0006270683157432178,0.5440158875461173,0.7742888389851671,0.9069125181721188,0.0021780761465906434,0.0005856392632633511,0.0001451177014983826,4.5142380307100525e-05
t,0.0001276037136812569,0.014387200998173477,0.839492577936688,,0.0022660888434131673,0.0006682114612323035,0.00018865213690236364,7.494389021930663e-05
fisk,3.219016175837197e-08,0.014387200998173477,,,0.047280496852129116,0.042945027346890104,7.076556843028172,25.14987503596855
logistic,0.0001276037136812569,0.014387200998173477,0.839492577936688,,0.0022841465995493814,0.0006658039723702512,0.0001861431590334806,6.959176328233593e-05
tukeylambda,0.0001276037136812569,0.014387200998173477,0.839492577936688,,0.0022617394474025725,0.0006655272871807733,0.00018574959179450693,7.106292764260771e-05
powernorm,0.0006270683157432178,0.5440158875461173,0.7742888389851671,0.9069125181721188,0.00218278218858068,0.0005805833478851716,0.00014252995467987442,4.285276868239233e-05
powerlognorm,1.5630223488827255e-06,0.18099777733592193,0.9946240358584997,0.9946240358584997,0.0038903384343180842,0.00119509795932157,0.0007650473466150609,0.00029410862660464237
exponweib,0.0006270683157432178,0.5440158875461173,0.7742888389851671,0.9069125181721188,0.0021956899334983518,0.0005813821645655893,0.00014438573388016234,4.317751702477917e-05
gengamma,0.00038362924817225696,8.449907440422066e-13,0.027389254888219305,0.3262519779269647,0.002998779475450929,0.0013868497088647608,0.0001370765123925842,4.3587961716924265e-05
loggamma,0.0006270683157432178,0.5440158875461173,0.7742888389851671,0.9069125181721188,0.002191635406297352,0.0005807997425060656,0.00014319487064416145,4.268181322587539e-05
hypsecant,0.0001276037136812569,0.014387200998173477,0.839492577936688,,0.0023510884326678385,0.0007209905388925398,0.00021025548185163518,8.354285885656302e-05
dweibull,0.0006270683157432178,0.014387200998173477,0.7742888389851671,,0.0022527518875738277,0.0006543361367240016,0.00018047586221721674,6.620712511176571e-05
