,distributions,SSE,AIC,BIC,params
0,genhyperbolic,253.76642581175167,-0.005131420890963412,-880.8535378795341,"(1.8895152570008256, 0.9744888418191312, -0.17183526458852208, 0.009272070890898616, 0.01109790829584548)"
1,mielke,254.28602958016623,-5.1073057545713745,-885.9033585218117,"(113.66376381867467, 178.03637652198557, -1.9500711065611978, 1.9597182709717582)"
2,johnsonsu,254.4898308025006,-12.242222874317136,-885.2640460198425,"(0.45292121416598957, 1.8073562476394767, 0.01135362973398081, 0.03624716002630417)"
3,nct,254.49236427997772,-12.172199019651234,-885.2561018715153,"(6.080773005016582, -0.6998121355455837, 0.016354143798776723, 0.01954085920396461)"
4,burr,254.76014919068038,-5.415068669008525,-884.4168625048594,"(316.6117715992358, 0.6500750316125852, -3.4957677908889693, 3.5051116816839887)"
5,genlogistic,255.19180142847932,-7.938154928641875,-889.7480259098759,"(0.6656231286676977, 0.008975804919760192, 0.0111630952830983)"
6,norminvgauss,257.047729014201,-10.996048175204656,-877.2833230139088,"(1.9393724002701813, -0.4573517172724848, 0.008555091394759639, 0.032465389267839526)"
7,burr12,257.1982750418815,17.74437431741341,-876.8160924177604,"(6123126.734354196, 1.4952441410926172, -90962.31151365105, 90962.32132929769)"
8,crystalball,277.5399112823705,3.561113598826484,-816.0743580411431,"(1.40707753466191, 19.495100631017365, 0.002682592694090725, 0.02155492913581245)"
9,t,296.1062760738936,9.318657440251481,-771.0830272943305,"(6.080803251126445, 0.0015888318874874476, 0.01998030957874508)"
10,fisk,297.79324967996155,35.53063704669247,-766.5495717184873,"(316494628.406887, -4185105.739518062, 4185105.741024116)"
11,logistic,297.79789387224616,33.40523779179828,-773.2192353174398,"(0.001505824757845051, 0.013225991746483716)"
12,tukeylambda,301.34039374194293,10.288968934758081,-757.1004143693197,"(-0.03830338541419989, 0.0016521350085150913, 0.012533139455923763)"
13,powernorm,311.92259225227986,91.84913819015993,-729.5578008658317,"(4.956076380642415, 0.04243809945391163, 0.03614729964283294)"
14,powerlognorm,312.96730548140795,96.96121969817312,-720.2074400319748,"(6.662914364774636, 0.026154570643014803, -1.46985265892922, 1.5221392319223987)"
15,exponweib,315.9964734070084,87.33754292669416,-712.5208457458015,"(4.953576828848798, 57.91913930338414, -2.6170229702507353, 2.5868640501597095)"
16,gengamma,320.6026595676099,97.0420163302653,-700.9726028581509,"(8.073353640832345, 15.017501886811957, -1.0055928941130494, 0.8790174958134058)"
17,loggamma,321.22978636636583,93.93218506020558,-706.0952784670168,"(12.85002828755719, -0.2135355087921042, 0.08521009767155938)"
18,hypsecant,321.82497740238676,-5.301109186009761,-711.3001798058161,"(0.0018525635322073567, 0.015739389761612103)"
19,dweibull,328.6163035665223,28.664058344828717,-687.953460925183,"(1.1858882041398116, 0.0006551657087677536, 0.019574776517781216)"
20,johnsonsb,329.41346230341856,111.27531471473448,-679.3379048874277,"(-19.96178449931972, 9.671353220990891, -2.071154684017328, 2.3359102508837566)"
21,pearson3,331.8104195786949,112.95690165529425,-680.2344381702769,"(-0.22956676278859436, 0.0006779834495093057, 0.024237865719009453)"
22,beta,332.6169813374039,106.37772886553894,-671.614912185413,"(2744700.019800102, 60.8390917059948, -8562.24461654729, 8562.435075347708)"
23,gennorm,340.0764400875592,41.5514437453115,-660.5983429024017,"(1.3867646936396851, 0.0017713350176289753, 0.026249961734581627)"
24,dgamma,373.7414736202671,6.7406785474728785,-585.2720144845488,"(1.3237277546632698, 0.0008505744209850077, 0.013945570400708113)"
25,fatiguelife,378.46744838611414,201.43739528400812,-575.2445410619041,"(0.004392650987368062, -5.529975879755007, 5.530641667270562)"
26,lognorm,378.6582662834666,198.43735539208149,-574.8423022200287,"(0.0030092332236417575, -8.07264520170866, 8.073271572365876)"
27,skewnorm,379.15022921076735,189.25482001979304,-573.8061922437694,"(0.000120525504231038, 0.0006744865295775779, 0.024369715842014736)"
28,norm,379.15043800145247,187.25472237956416,-580.4878613982016,"(0.000676820750255499, 0.02436971614203018)"
29,exponnorm,379.1678337704949,189.2380493857653,-573.7691406704233,"(8.052573155314935e-05, 0.000674533986238594, 0.024369982129034747)"
30,foldnorm,379.38861147589745,187.4028526983709,-573.3046251686699,"(5.39498580762315, -0.13082624639706808, 0.024374723229558456)"
31,rice,380.0149949615819,188.1770173776934,-571.9881865036482,"(129.08726040191596, -3.1478761842179717, 0.024390135710325583)"
32,nakagami,382.77921513153734,187.08791038979402,-566.2045627628406,"(53326.74157076176, -11.2821452745391, 11.282815646604526)"
